;pdf_name;page_nr;page_section;climate_related_no;climate_related_yes;domain_MetricsTargets;domain_RiskManagement;domain_Strategy;domain_Governance;ron_risk;ron_opportunity;ron_neutral;transition_risk_label;text
15;Allianz Global Investors GmbH_Asset Manager_EN_2022;5;0;0.1231507584452629;0.8768492341041565;0.0265719387680292;0.1739820390939712;0.7784782648086548;0.0209676697850227;0.982987642288208;0.0027874761726707;0.0142248757183551;;But on top of that, we faced unexpected market turbulence driven by the war in Ukraine and geopolitical instability. The impacts have been wide ranging, spanning energy security, transition and affordability, inflation, rising interest rates, supply chain issues and challenging equity and bond markets. These challenges have huge implications for the investment community. But while investors’ commitment to sustainable investing may have been tested, our view remains the same.
16;Allianz Global Investors GmbH_Asset Manager_EN_2022;5;0;0.0017998666735365;0.9982000589370728;0.0867343619465828;0.0677118524909019;0.7954457402229309;0.050108004361391;0.973620593547821;0.0052099768072366;0.0211693849414587;;We believe sustainable investing is every bit as crucial to the resilience of asset owners, investors, the wider industry, and society as a whole. With devastating floods in Pakistan, South Asia, Malaysia and West Africa, and heatwaves and drought in Europe, China and Africa, the year 2022 gave clear signs of the potential impacts of climate change.
26;Allianz Global Investors GmbH_Asset Manager_EN_2022;7;0;0.0019763244781643;0.9980237483978271;0.0569240264594554;0.1779654622077942;0.6795274019241333;0.0855830982327461;0.958897590637207;0.0070874323137104;0.0340149067342281;;The onset of the war in Ukraine was a defining event of the year, and the conflict sparked implications far beyond its geographic footprint. We saw an energy crisis in Europe and global food supply volatility alongside climate-related weather events. This has tested both markets and investor commitments to sustainability, but it has also brought a new level of realism about what sustainable investing needs to achieve and how it is measured.
72;Allianz Global Investors GmbH_Asset Manager_EN_2022;14;0;0.0242585185915231;0.9757415056228638;0.0901165679097175;0.1063634902238845;0.7563484907150269;0.0471713989973068;0.5947361588478088;0.0063273087143898;0.3989365696907043;;This is how we will continue to embed trust in the AllianzGI brand as a corporate citizen and a responsible steward of assets. Stakeholders are demanding increased corporate responsiveness on sustainability, and complex legal and enterprise risk issues require a more defined and sophisticated approach.
76;Allianz Global Investors GmbH_Asset Manager_EN_2022;14;1;0.0027209231629967;0.9972791075706482;0.0237551443278789;0.1510616987943649;0.6521831154823303;0.1730000972747802;0.6921708583831787;0.0295635554939508;0.2782656252384186;;We foster diversity and client satisfaction as top priorities, along with the environmental management of our operations and philanthropic engagement with local communities and wider society.In May 2022, Allianz SE announced the resolution of US governmental investigations concerning our Structured Alpha funds with a guilty plea by Allianz Global Investors US. Following heavy losses in the funds during the Covid-19 market turmoil, we fully cooperated with investigations by US authorities.
84;Allianz Global Investors GmbH_Asset Manager_EN_2022;15;0;0.0017288421513512;0.998271107673645;0.0332197174429893;0.1078287065029144;0.1651879698038101;0.6937635540962219;0.9837616086006165;0.0019507692195475;0.0142876449972391;;The World Economic Forum’s Global Risks Report 20233 ranks natural disasters and We aim to simplify the complexities of sustainable investing by guiding and partnering with clients and other stakeholders.extreme weather events as the second greatest risk after the cost of living. Over the next 10 years, the report identifies the top three risks as failure to mitigate climate change, failure of climate change adaptation, and natural disasters and extreme weather events.
85;Allianz Global Investors GmbH_Asset Manager_EN_2022;15;0;0.0023159743286669;0.9976840019226074;0.1793406754732132;0.1517564803361892;0.4037580490112304;0.2651448249816894;0.9188462495803832;0.0037125805392861;0.0774411037564277;;In fourth position is biodiversity loss and ecosystem collapse. We see these risks as closely interdependent and this view underpins our holistic approach to sustainable investment. 2 For the avoidance of doubt, whenever using the term sustainable product/fund in this publication, AllianzGI refers to a product or fund classified as Article 8 or 9 under SFDR as a minimum criteria. 3 https://www3.weforum.org/docs/WEF_Global_Risks_Report_2023.
88;Allianz Global Investors GmbH_Asset Manager_EN_2022;16;0;0.001747032161802;0.9982529282569884;0.0117337806150317;0.0667780414223671;0.9079325199127196;0.0135556692257523;0.7781217098236084;0.0056258249096572;0.2162524908781051;;Climate change is one of our planet’s most pressing challenges, with potential consequences across all three ESG elements.
102;Allianz Global Investors GmbH_Asset Manager_EN_2022;17;1;0.0021371594630181;0.9978628754615784;0.0145357651636004;0.1439542472362518;0.8316493034362793;0.009860654361546;0.8334108591079712;0.0277803726494312;0.138808786869049;;The need to tackle risks and opportunities associated with biodiversity loss has been emphasised by food supply shortages because of the war in Ukraine and droughts around the world in 2022. • The future of energy accelerated as a theme following the outbreak of war in Ukraine in February 2022. Energy is central to our themes of climate change and inclusive capitalism. • Inclusive capitalism has come to the fore as investors look to increasingly embed social factors into decision making.
174;Allianz Global Investors GmbH_Asset Manager_EN_2022;26;0;0.0018464148743078;0.9981535077095032;0.1405764520168304;0.1669475138187408;0.4535859227180481;0.238890141248703;0.6445733904838562;0.0064839404076337;0.3489426672458648;;Sustainability transparency What is the carbon footprint of my current portfolio?In which parts of my portfolio do I face security-based reputational risks? Progress in 2022• Best pr actice analysis via peer group studies of different investor groups(eg, pensions, insurers) and theirsustainable investment behaviour. • Pr oprietary analytics tool upgraded to a cloud-based application(SARAH 2.
