;pdf_name;page_nr;page_section;climate_related_no;climate_related_yes;domain_MetricsTargets;domain_RiskManagement;domain_Strategy;domain_Governance;ron_risk;ron_opportunity;ron_neutral;transition_risk_label;text
5;DekaBank_Deutsche_Girozentrale_2022_EN;2;0;0.007293495349586;0.9927064776420592;0.1592104434967041;0.3560073375701904;0.4628065824508667;0.0219756290316581;0.4439328908920288;0.0664891675114631;0.4895779192447662;;8 Financial cost for further training in Germany € / employee 865 998 SUSTAINABLE BANKING Power consumption6 MWh 8,904 8,314 Energy consumption6 MWh 19,900 17,444 Paper consumption7 t 777 574 Drinking water consumption6 m3 24,693 25,047 Volume of waste generated6 t 408.4 491.
12;DekaBank_Deutsche_Girozentrale_2022_EN;3;3;0.0024724069517105;0.9975276589393616;0.0962720811367034;0.2152803689241409;0.6062685251235962;0.0821790248155593;0.5733475685119629;0.0627356618642807;0.3639167845249176;;Compensation of unavoidable emissions 29 S – Social 32 4. Customers, employees and society 32 4.1. Sustainable products 32 4.1.1. Sustainability in capital investment 32 4.1.2. Sustainability in lending 42 4.2. Employees – Sustainable human resources management 47 4.2.1. Human resources strategy 47 4.2.2. Management of human resources 48 4.2.3.
30;DekaBank_Deutsche_Girozentrale_2022_EN;7;0;0.0018198400503024;0.9981801509857178;0.0365333668887615;0.2369508147239685;0.6871564388275146;0.039359375834465;0.468027263879776;0.0881630256772041;0.4438096582889557;;Special measures continue to be required her e to help consumers and businesses to cope with these challenges. The past year has made it clear to us in Germany that, in addi- tion to the outlined challenges, climate change is also advanc- ing. Climate change continues to be one of the most pressing problems of our time and requires a swift and decisive re- sponse. It is clear to all of us that we must act urgently to pre- serve the planet for future generations.
31;DekaBank_Deutsche_Girozentrale_2022_EN;7;0;0.0021020292770117;0.9978979825973512;0.0202174428850412;0.1170302554965019;0.8355000019073486;0.0272522773593664;0.4011879563331604;0.1744981557130813;0.424313873052597;;In Germany, the multi- plicity and interconnectedness of the crises is also evident in view of the significant increase in gas prices: it is important that we find sustainable solutions to reduce dependence on fossil fuels and accelerate the transition to renewable energies. Against this background, banks an d financial institutions have an important role to play in the transformation to a sustainable economy, and this also applies to the Deka Group.
83;DekaBank_Deutsche_Girozentrale_2022_EN;13;0;0.0021368686575442;0.9978631138801576;0.0120843378826975;0.3704601526260376;0.6025283336639404;0.0149272326380014;0.9796558618545532;0.0044786469079554;0.0158655140548944;;Potential susta inability risks in relevant business pro- cesses are systematically identified and managed. Regulatory requirements are implemented reliably and with a long -term orientation. To support this, the Deka Group has aligned itself holistically with the expanded sustainability requirements and adapted the Deka Group's governance system to the expanded ESG re- quirements.
262;DekaBank_Deutsche_Girozentrale_2022_EN;26;1;0.0027900696732103;0.9972099661827089;0.0870012938976287;0.0551035739481449;0.8385775089263916;0.0193176232278347;0.6098545789718628;0.0596552193164825;0.3304901421070099;;For example, a large part of the furni- ture was sold to a subcontractor, who recycled some of the furniture. All companies entrusted with the disposal of waste hold a cer- tificate as a specialist disposal company in accordance with the German Act on Closed Cycle Management and Waste. Deka- Bank conducts regul ar audits at the companies to ensure that waste is disposed of in a safe and environmentally friendly manner.
282;DekaBank_Deutsche_Girozentrale_2022_EN;27;1;0.0037306444719433;0.9962693452835084;0.0442225821316242;0.1897344440221786;0.7370068430900574;0.0290361922234296;0.4363143146038055;0.1755665689706802;0.3881190717220306;;"All rainwater is temporarily stored in the green roof structures and made available for the vegetation on the roof. Excess precipitation water is passed on to an underground buffer tank to be subsequently returned to the natural wa ter cy- cle for groundwater recharge. In addition, the green roof promotes the natural evaporation process; this form of ac- tive cooling has a positive effect on the urban climate. In total, up to 2."
294;DekaBank_Deutsche_Girozentrale_2022_EN;28;1;0.0204505007714033;0.9795494675636292;0.0193563755601644;0.0551403127610683;0.9077008366584778;0.0178025104105472;0.7071772813796997;0.0199797488749027;0.2728430032730102;;At the same time, there were around 160 open orders, of which around 25 percent were for full ele ctric vehicles. Therefore, depending on the delivery times of the manufactur- ers, the share of full electric vehicles in the total fleet will in- crease significantly in 2023/2024. Bicycle leasing The bicycle leasing offer introduced in 2019 has been very we ll received by employees.
301;DekaBank_Deutsche_Girozentrale_2022_EN;29;0;0.0019427164224907;0.9980573058128356;0.0962720811367034;0.2152803689241409;0.6062685251235962;0.0821790248155593;0.5733475685119629;0.0627356618642807;0.3639167845249176;;Compensation of unavoidable emissions In order to compensate for the unavoidable CO 2 emissions caused by its business operations, DekaBank has been offset- ting these since 2020 by purchasing reduction certificates from selected international projects. DekaBank is aware that offsetting greenhouse gas emissions through the retirement of emissio n rights is not without con- troversy.
358;DekaBank_Deutsche_Girozentrale_2022_EN;34;2;0.0018611177802085;0.9981389045715332;0.1877155154943466;0.3057787716388702;0.4449012577533722;0.061604481190443;0.4040222465991974;0.1171665862202644;0.4788111746311188;;1.1.2.2. Other capital market -based investment solutions Asset management and asset management funds with sustainability features The offering in the asset management segment includes vari- ous mandate solutions with sustainability features that differ in terms of their risk profile.
