;pdf_name;page_nr;page_section;climate_related_no;climate_related_yes;domain_MetricsTargets;domain_RiskManagement;domain_Strategy;domain_Governance;ron_risk;ron_opportunity;ron_neutral;transition_risk_label;text
0;bnp_paribas_2022_climate_report;1;0;0.0026492732577025;0.9973506927490234;0.0330997072160244;0.3109177052974701;0.599124550819397;0.0568579621613025;0.5930728912353516;0.0531610623002052;0.3537660241127014;;Strategy, risks & opportunities, net zero commitments2022 CLIMATE REPORTThe bank for a changing world.
132;bnp_paribas_2022_climate_report;3;130;0.003026804421097;0.996973156929016;0.0221645012497901;0.4705038070678711;0.4864799976348877;0.0208516661077737;0.949459433555603;0.0058602653443813;0.0446802712976932;;... 23 2. How climate risks are identified, measured and monitored .......
302;bnp_paribas_2022_climate_report;8;0;0.0015217353357002;0.9984782338142396;0.0141920009627938;0.2283810079097747;0.7439368367195129;0.0134900975972414;0.6031900644302368;0.0173150524497032;0.3794949054718017;;These restrictive policies lay down strict ESG criteria, including some related to climate. Regarding the energy sectors, following the announcement in 2020 of a strategy for a full exit from the thermal coal value chain by 2030 in the European Union and OECD countries, and by 2040 in the rest of the world, BNP Paribas conducted a comprehensive analysis of its customer portfolio in the electricity generation sector.
315;bnp_paribas_2022_climate_report;10;0;0.0015734349144622;0.9984265565872192;0.0440735220909118;0.2486402839422226;0.6470495462417603;0.0602366179227829;0.5730351209640503;0.0485266111791133;0.3784383237361908;;10 Climate change and its consequences are identified as risk drivers for BNP Paribas, and recognised as such in its Universal Registration Document (URD). In particular, the chapter meeting legal and regulatory requirements relating to risks of the BNP Paribas Group (Chapter 5 - Pillar 3)5 states that: “Environmental risks and, more particularly, those associated with climate change are likely to translate into financial risks for the Group.
317;bnp_paribas_2022_climate_report;10;0;0.0018067747587338;0.9981932044029236;0.0148190120235085;0.2340695858001709;0.7415249943733215;0.009586414322257;0.9754312038421632;0.0031273297499865;0.0214414428919553;;The potential impact of these risk drivers are monitored by BNP Paribas in the conduct of its own business and that of its counterparties, and in its proprietary and third-party investments.PHYSICAL RISKS resulting from the direct impact of climate change on people and assets due to extreme weather events or long-term shifts in climate patterns such as rising sea levels or rising temperatures.
318;bnp_paribas_2022_climate_report;10;0;0.0022272472269833;0.997772753238678;0.0099233239889144;0.1438922584056854;0.831806480884552;0.0143778780475258;0.9301266670227052;0.0061538354493677;0.0637194365262985;;TRANSITION RISKS resulting from a change in the behaviour of economic and financial agents in response to the implementation of energy policies, change in regulation, technological innovations or changes in consumer preferences. Furthermore, consequences in terms of liability may arise from these two risk factors.
326;bnp_paribas_2022_climate_report;11;0;0.0029478846117854;0.9970520734786988;0.0101605057716369;0.4152949452400207;0.5550488233566284;0.0194956623017787;0.9838210344314576;0.004076309967786;0.0121026933193206;;physical risks can be acute risks (event-driven such as water floods, wildfires, cyclones, etc.
327;bnp_paribas_2022_climate_report;11;0;0.0036055468954145;0.9963944554328918;0.0120628951117396;0.1348170489072799;0.8370246887207031;0.0160953141748905;0.9771401882171632;0.0037957401946187;0.0190640594810247;;") or chronic risks (longer-term shifts such as the increase in temperature, the shifts in rainfalls, the rise of sea level, etc.). Legend: Short term (ST), i.e. within two years; medium term (MT), i.e. between three and five years; or long term (LT), i.e. after five years.* ""Stranded assets"" are assets that have suffered from unanticipated or premature write-downs, devaluations or conversion to liabilities."
341;bnp_paribas_2022_climate_report;13;0;0.0016586706042289;0.9983413219451904;0.0142036341130733;0.1549766808748245;0.8242374062538147;0.0065823099575936;0.9810839295387268;0.0028438719455152;0.0160722509026527;;To mitigate these risks and to seize these opportunities, BNP Paribas embeds climate change and transition to global carbon neutrality at the core of its strategy (see Part I. Section 1. BNP Paribas embeds climate and transition towards carbon neutrality at the core of its strategy), reinforces climate governance at the highest level of the company (see Part II. Section 1.
390;bnp_paribas_2022_climate_report;19;0;0.0017966603627428;0.9982032775878906;0.204010933637619;0.3282599151134491;0.4498424828052521;0.0178865566849708;0.5749107599258423;0.0633521154522895;0.3617371618747711;;The residual value is low - the equivalent of a monthly payment - which allows these households, if they wish, to become owners of the vehicle at the end of the contract. This offer targets a loan amount of 120 million EUR.The first wood-frame building in Paris La Défense, called Inspire, launched by BNP Paribas Real Estate. This 22,000 m² building, which will be delivered in 2024, is targeting the highest levels of environmental labels and certifications, i.e. HQE, BREEAM, BBC Effinergie, etc.
