;pdf_name;page_nr;page_section;climate_related;domain;ron;transition;text
0;Commerzbank_2022_EN-2;1;0;;;;;" 
     
 42 Commerzbank Annual Report 2022  
Combined separate non-financial report  
   
Section  Content Concerns in accordance 
with the CSR-RUG 
About this report • Statutory requirements and background  
1."
1;Commerzbank_2022_EN-2;1;1;;;;;"Taking responsibility • Introduction 
• Relevant milestones in 2022 
• External assessment of our sustainability performance  
2. Anchoring sustainability in our strategy /CR 
Governance structures expanded /CR 
Key issues analysed /CR 
Pursuing net zero target • Establishment and management"
2;Commerzbank_2022_EN-2;1;2;;;;;"of our sustainability 
strategy 
• Focus topics for sust ainability management 
• Our road to net zero emissions  • Environmental protection 
• Respect for human rights 
3. Responsible management /CR 
Making our stance clear /CR 
Evaluating environmental and social"
3;Commerzbank_2022_EN-2;1;3;;;;;"criteria /CR 
Reducing financed emissions /CR 
Incorporating EU taxonomy /CR 
Managing climate and biodiversity risks • Guidelines provided via the ESG framework 
• Sustainability as part of risk management 
• Science-based emissions reductions 
• Classification under the EU taxonomy 
•"
4;Commerzbank_2022_EN-2;1;4;;;;;"Materiality of climate and biodiversity risks • Environmental protection 
• Respect for human rights 
4. Supporting the customer transformation /CR 
Sustainable financing /CR 
Sustainable investments and capital market 
products /CR 
Ensuring data security /CR 
Maintaining dialogue • Sustainability as an"
5;Commerzbank_2022_EN-2;1;5;;;;;"opportunity for the Bank 
• Financing the energy transition 
• Supporting the customer transformation 
• Defending against cybercrime 
• Focus on customers • Treatment of customers 
5. Leading by example /CR 
Reducing operational emissions /CR 
Embodying collegiality /CR 
Promoting diversity"
6;Commerzbank_2022_EN-2;1;6;;;;;"and equal opportunity /CR 
Ensuring integrity and compliance /CR 
Working for the good of society • Climate protection in our own company 
• Our responsibility as an employer 
• Women in management positions 
• Acting according to ethical values 
•"
7;Commerzbank_2022_EN-2;1;7;;;;;"Social commitment • Environmental protection 
• Social responsibility 
• Treatment of employees 
• Respect for human rights 
• Anti-corruption 
   
 
About this report 
 
This combined non-financial report for Commerzbank 
Aktiengesellschaft and the Commerzbank Group1  has"
8;Commerzbank_2022_EN-2;1;8;;;;;"been 
prepared in accordance with the requirements of the German Act 
on Strengthening Corporate Non-Financial Reporting (CSR-
Richtlinie-Umsetzungsgesetz, CS R-RUG). Alongside the parent 
company, it covers in particular the material subsidiaries 
Commerz Real AG, mBank S.A. and Commerzbank 
Finance  &"
9;Commerzbank_2022_EN-2;1;9;;;;;"Covered Bond S.A. 
As required by law, we provide information in this report on 
environmental protection, treatment of employees, social 
responsibility, respect for human rights and the fight against corruption and bribery. As customer  focus is another key factor"
10;Commerzbank_2022_EN-2;1;10;;;;;"in 
our success, we also report on the treatment of customers. To 
identify the topics to report on , we conducted a new materiality 
analysis of non-financial issues that are key to understanding the 
 
1 Unless stated otherwise, the"
11;Commerzbank_2022_EN-2;1;11;;;;;"information in this report relates to the Group. business performance and situation of Commerzbank and that are 
significantly impacted by our business activities (see section “Key 
topics analysed”). The description of the business model can be 
found in the “Structure"
12;Commerzbank_2022_EN-2;1;12;;;;;"and orga nisation” section of the (Group) 
management report. 
The directives stipulated by Commerzbank Aktiengesellschaft 
apply to the entire Group becaus e it is defined as the “global 
functional lead”. If relevant arrangements at the subsidiaries differ 
from these policies,"
13;Commerzbank_2022_EN-2;1;13;;;;;"these arrangements are explained in this 
report. Commerzbank Finance  & Covered Bond S.A., which as at 
the end of 2022 had just ten remaining employees and was 
exclusively managing a run-off portfolio, did not have any 
additional information to"
14;Commerzbank_2022_EN-2;1;14;;;;;"contribute on material non-financial issues in 2022.  
We are not aware of any material risks resulting from the 
application of the net method either from the Bank’s own business activities or in connection with business relations, products or 
s"
15;Commerzbank_2022_EN-2;1;15;;;;;e r v i c e s  t h a t  w o u l d  b e  h i g h l y  l i k e l y  t o  h
16;Commerzbank_2022_EN-2;1;16;;;;;"a v e  a  s e v e r e  n e g a t i v e  
impact on the non-financial aspects, now or in the future. Further "
17;Commerzbank_2022_EN-2;2;0;;;;;" 
         
 To our Shareholders  Corporate Responsibility  Management Report Risk Report Fina ncial Statements Further Information 43 
  25 Declaration on corporate governance  
pursuant to Art. 315d"
