;pdf_name;page_nr;page_section;climate_related_no;climate_related_yes;domain_MetricsTargets;domain_RiskManagement;domain_Strategy;domain_Governance;ron_risk;ron_opportunity;ron_neutral;transition_risk_label;text
0;DZ_Bank_2022_EN;1;0;;;;;;;;;;;2022 Sustainability Report.
1;DZ_Bank_2022_EN;2;0;;;;;;;;;;;Contents Contents 1.0 About this report 3 2.0 Foreword 4 3.0 Executive summary 6 4.0 Company profile 7 4.1 Sustainability ratings 8 5.0 Strategy 9 5.1 Strategy and goals 10 5.2 Vision and cooperative values 14 5.3 Materiality assessment 15 6.0 Corporate management 17 6.1 Governance 18 6.2 Compliance 24 6.3 Risk management 28 6.4 Stakeholder dialogue 327.0 Business portfolio 34 7.1 Impact transparency 35 7.2 Mandatory disclosures for the DZ BANK banking group under the EU taxonomy 45 7.
2;DZ_Bank_2022_EN;2;0;;;;;;;;;;;3 Rejection criteria and sectoral rules 55 7.4 Bank 59 7.5 Asset management 68 7.6 Insurance 71 8.0 Business processes 74 8.1 Customer focus 75 8.2 Data protection and information security 80 8.3 Human rights due diligence 82 8.4 Supplier management 84 8.5 Operational ecology 85 9.0 Employees 89 9.1 HR strategy 90 9.2 Employee development 92 9.3 Diversity and equal opportunity 94 9.4 Remuneration and codetermination 96 9.5 Work-life balance 98 9.6 Occupational health and safety 99 9.
3;DZ_Bank_2022_EN;2;1;;;;;;;;;;;7 Employee data 10110.0 Corporate citizenship 104 10.1 Financial literacy 105 10.2 Social and cultural activities 106 10.3 Political engagement 108 11.0 Annex 109 11.1 Indices 110 11.2 Independent auditor’s limited assurance report 134 11.3 Editorial information 137 | | | | | | | |Company profile Strategy Corporate management Business portfolio Business processes Employees Corporate citizenship Annex Contents2 DZ BANK 2022 Sustainability Report.
4;DZ_Bank_2022_EN;3;0;;;;;;;;;;;1.0 About this report Editor’s note and publication schedule Unless otherwise indicated, the statements made in this report apply to the DZ BANK Group including DZ BANK AG (DZ BANK AG is referred to as ‘DZ BANK’ below). Where a statement relates exclusively to DZ BANK or individual enti- ties of the DZ BANK Group, this is explicitly indicated in the text. The key figures in › section 8.5 Operational ecology relate to 2021 because the data for 2022 was not available by the publication date.
5;DZ_Bank_2022_EN;3;0;;;;;;;;;;;The data will be made available later on DZ BANK’s website . The publishing deadline for the GRI reporting of DZ BANK was February 17, 2023. Particularly relevant events have been included up to this date. The Sustainability Report is published annually. The next report will be published in March 2024.
6;DZ_Bank_2022_EN;3;0;;;;;;;;;;;Assurance engagement An independent assurance engagement was conducted by the auditing firm PricewaterhouseCoopers Wirtschaftsprü- fungsgesellschaft GmbH, Frankfurt am Main (Germany), in respect of the non-financial report in order to obtain limited assurance in accordance with the International Standard on Assurance Engagements (ISAE) 3000 (Revised). The indepen- dent auditor’s limited assurance report can be found in the annex (› section 11.2 Independent auditor’s limited assurance report ).
7;DZ_Bank_2022_EN;3;0;;;;;;;;;;;The information that was reviewed as part of the external assurance engagement in respect of the separate non-financial report is presented with a gray background in this document. Information that is presented without a gray background is content that is provided on a voluntary basis.This Sustainability Report relates to the 2022 financial year (January 1 to December 31, 2022).
8;DZ_Bank_2022_EN;3;0;;;;;;;;;;;It comprises the separate combined group non-financial report (‘non-financial report’) for the DZ BANK Group and DZ BANK AG and the Sustain- ability Report for DZ BANK AG.
9;DZ_Bank_2022_EN;3;0;;;;;;;;;;;Consolidated entities The non-financial report, as defined by section 340a (1a) and section 340i (5) of the German Commercial Code (HGB) in conjunction with section 289b (3) HGB and section 315b (3) HGB, and article 8 of the EU Taxonomy Regulation (Regula- tion (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a frame- work to facilitate sustainable investment, and amending Regulation (EU) 2019/2088), covers the following manage- ment units of.
